method,threshold,precision,recall,missRate,f2,tp,fp,fn,tn
solo,0.2125,0.3958333333333333,0.9344262295081968,0.06557377049180324,0.7345360824742267,228,348,16,1839
solo,0.215,0.3986013986013986,0.9344262295081968,0.06557377049180324,0.7364341085271318,228,344,16,1843
solo,0.2175,0.4,0.9344262295081968,0.06557377049180324,0.7373868046571799,228,342,16,1845
solo,0.22,0.4028268551236749,0.9344262295081968,0.06557377049180324,0.7392996108949418,228,338,16,1849
solo,0.2225,0.40569395017793597,0.9344262295081968,0.06557377049180324,0.7412223667100131,228,334,16,1853
solo,0.225,0.40714285714285714,0.9344262295081968,0.06557377049180324,0.7421875,228,332,16,1855
solo,0.2275,0.409009009009009,0.930327868852459,0.069672131147541,0.7413455258001307,227,328,17,1859
solo,0.23,0.4124087591240876,0.9262295081967213,0.07377049180327866,0.7414698162729659,226,322,18,1865
solo,0.2325,0.41467889908256883,0.9262295081967213,0.07377049180327866,0.7429322813938198,226,319,18,1868
solo,0.23500000000000001,0.41697416974169743,0.9262295081967213,0.07377049180327866,0.7444005270092227,226,316,18,1871
solo,0.23750000000000002,0.4185185185185185,0.9262295081967213,0.07377049180327866,0.7453825857519789,226,314,18,1873
solo,0.24,0.41821561338289964,0.9221311475409836,0.07786885245901642,0.7430647291941876,225,313,19,1874
solo,0.2425,0.41821561338289964,0.9221311475409836,0.07786885245901642,0.7430647291941876,225,313,19,1874
solo,0.245,0.4205607476635514,0.9221311475409836,0.07786885245901642,0.7445400397088021,225,310,19,1877
solo,0.2475,0.42533081285444235,0.9221311475409836,0.07786885245901642,0.7475083056478405,225,304,19,1883
solo,0.25,0.42775665399239543,0.9221311475409836,0.07786885245901642,0.7490013315579228,225,301,19,1886
solo,0.2525,0.43103448275862066,0.9221311475409836,0.07786885245901642,0.7510013351134845,225,297,19,1890
solo,0.255,0.4305019305019305,0.9139344262295082,0.08606557377049184,0.7463186077643909,223,295,21,1892
solo,0.2575,0.4330097087378641,0.9139344262295082,0.08606557377049184,0.7478202548625082,223,292,21,1895
solo,0.26,0.4346978557504873,0.9139344262295082,0.08606557377049184,0.7488247145735393,223,290,21,1897
solo,0.2625,0.4381139489194499,0.9139344262295082,0.08606557377049184,0.7508417508417509,223,286,21,1901
solo,0.265,0.43984220907297833,0.9139344262295082,0.08606557377049184,0.7518543492919757,223,284,21,1903
solo,0.2675,0.4442231075697211,0.9139344262295082,0.08606557377049184,0.7543978349120433,223,279,21,1908
solo,0.27,0.4468937875751503,0.9139344262295082,0.08606557377049184,0.7559322033898304,223,276,21,1911
solo,0.2725,0.4495967741935484,0.9139344262295082,0.08606557377049184,0.7574728260869565,223,273,21,1914
solo,0.275,0.4532520325203252,0.9139344262295082,0.08606557377049184,0.7595367847411443,223,269,21,1918
solo,0.2775,0.4532520325203252,0.9139344262295082,0.08606557377049184,0.7595367847411443,223,269,21,1918
solo,0.28,0.45790554414784396,0.9139344262295082,0.08606557377049184,0.7621326042378674,223,264,21,1923
solo,0.28250000000000003,0.45979381443298967,0.9139344262295082,0.08606557377049184,0.7631759069130731,223,262,21,1925
solo,0.28500000000000003,0.4616977225672878,0.9139344262295082,0.08606557377049184,0.7642220699108979,223,260,21,1927
solo,0.28750000000000003,0.46555323590814196,0.9139344262295082,0.08606557377049184,0.7663230240549828,223,256,21,1931
solo,0.29,0.4734607218683652,0.9139344262295082,0.08606557377049184,0.7705597788527989,223,248,21,1939
solo,0.2925,0.4734607218683652,0.9139344262295082,0.08606557377049184,0.7705597788527989,223,248,21,1939
solo,0.295,0.47639484978540775,0.9098360655737705,0.0901639344262295,0.769764216366158,222,244,22,1943
solo,0.2975,0.4793926247288503,0.9057377049180327,0.09426229508196726,0.7689631176061239,221,240,23,1947
solo,0.3,0.4814004376367615,0.9016393442622951,0.09836065573770492,0.7676203768318214,220,237,24,1950
solo,0.3025,0.4845814977973568,0.9016393442622951,0.09836065573770492,0.7692307692307693,220,234,24,1953
solo,0.305,0.4878048780487805,0.9016393442622951,0.09836065573770492,0.7708479327259986,220,231,24,1956
solo,0.3075,0.48997772828507796,0.9016393442622951,0.09836065573770492,0.7719298245614034,220,229,24,1958
solo,0.31,0.49324324324324326,0.8975409836065574,0.10245901639344257,0.7711267605633803,219,225,25,1962
solo,0.3125,0.4965986394557823,0.8975409836065574,0.10245901639344257,0.7727593507410021,219,222,25,1965
solo,0.315,0.5,0.8975409836065574,0.10245901639344257,0.7743988684582745,219,219,25,1968
solo,0.3175,0.503448275862069,0.8975409836065574,0.10245901639344257,0.7760453579021971,219,216,25,1971
solo,0.32,0.503448275862069,0.8975409836065574,0.10245901639344257,0.7760453579021971,219,216,25,1971
solo,0.3225,0.5057736720554272,0.8975409836065574,0.10245901639344257,0.7771469127040455,219,214,25,1973
solo,0.325,0.5069444444444444,0.8975409836065574,0.10245901639344257,0.7776988636363639,219,213,25,1974
solo,0.3275,0.5093023255813953,0.8975409836065574,0.10245901639344257,0.7788051209103841,219,211,25,1976
solo,0.33,0.5116822429906542,0.8975409836065574,0.10245901639344257,0.7799145299145299,219,209,25,1978
solo,0.3325,0.5152941176470588,0.8975409836065574,0.10245901639344257,0.7815845824411135,219,206,25,1981
solo,0.335,0.5177304964539007,0.8975409836065574,0.10245901639344257,0.7827019299499641,219,204,25,1983
solo,0.3375,0.517814726840855,0.8934426229508197,0.10655737704918034,0.7802433786685754,218,203,26,1984
solo,0.34,0.5166666666666667,0.889344262295082,0.11065573770491799,0.7772206303724928,217,203,27,1984
solo,0.3425,0.5191387559808612,0.889344262295082,0.11065573770491799,0.778335724533716,217,201,27,1986
solo,0.34500000000000003,0.5228915662650603,0.889344262295082,0.11065573770491799,0.7800143781452192,217,198,27,1989
solo,0.34750000000000003,0.5255474452554745,0.8852459016393442,0.11475409836065575,0.7786589762076424,216,195,28,1992
solo,0.35000000000000003,0.5255474452554745,0.8852459016393442,0.11475409836065575,0.7786589762076424,216,195,28,1992
solo,0.3525,0.5294117647058824,0.8852459016393442,0.11475409836065575,0.7803468208092484,216,192,28,1995
solo,0.355,0.5333333333333333,0.8852459016393442,0.11475409836065575,0.782041998551774,216,189,28,1998
solo,0.3575,0.5346534653465347,0.8852459016393442,0.11475409836065575,0.782608695652174,216,188,28,1999
solo,0.36,0.5386533665835411,0.8852459016393442,0.11475409836065575,0.7843137254901961,216,185,28,2002
solo,0.3625,0.54,0.8852459016393442,0.11475409836065575,0.7848837209302325,216,184,28,2003
solo,0.365,0.542713567839196,0.8852459016393442,0.11475409836065575,0.7860262008733625,216,182,28,2005
solo,0.3675,0.5454545454545454,0.8852459016393442,0.11475409836065575,0.7871720116618075,216,180,28,2007
solo,0.37,0.5468354430379747,0.8852459016393442,0.11475409836065575,0.787746170678337,216,179,28,2008
solo,0.3725,0.5510204081632653,0.8852459016393442,0.11475409836065575,0.7894736842105262,216,176,28,2011
solo,0.375,0.5524296675191815,0.8852459016393442,0.11475409836065575,0.7900512070226773,216,175,28,2012
solo,0.3775,0.5524296675191815,0.8852459016393442,0.11475409836065575,0.7900512070226773,216,175,28,2012
solo,0.38,0.5512820512820513,0.8811475409836066,0.11885245901639341,0.7869692532942898,215,175,29,2012
solo,0.3825,0.5526992287917738,0.8811475409836066,0.11885245901639341,0.7875457875457875,215,174,29,2013
solo,0.385,0.5555555555555556,0.8811475409836066,0.11885245901639341,0.7887013939838591,215,172,29,2015
solo,0.3875,0.5555555555555556,0.8811475409836066,0.11885245901639341,0.7887013939838591,215,172,29,2015
solo,0.39,0.5555555555555556,0.8811475409836066,0.11885245901639341,0.7887013939838591,215,172,29,2015
solo,0.3925,0.5584415584415584,0.8811475409836066,0.11885245901639341,0.789860396767083,215,170,29,2017
solo,0.395,0.56282722513089,0.8811475409836066,0.11885245901639341,0.7916053019145802,215,167,29,2020
solo,0.3975,0.5631578947368421,0.8770491803278688,0.12295081967213117,0.789085545722714,214,166,30,2021
solo,0.4,0.5631578947368421,0.8770491803278688,0.12295081967213117,0.789085545722714,214,166,30,2021
solo,0.4025,0.5634920634920635,0.8729508196721312,0.12704918032786883,0.7865583456425405,213,165,31,2022
solo,0.405,0.56951871657754,0.8729508196721312,0.12704918032786883,0.7888888888888889,213,161,31,2026
solo,0.40750000000000003,0.56951871657754,0.8729508196721312,0.12704918032786883,0.7888888888888889,213,161,31,2026
solo,0.41000000000000003,0.56951871657754,0.8729508196721312,0.12704918032786883,0.7888888888888889,213,161,31,2026
solo,0.41250000000000003,0.5710455764075067,0.8729508196721312,0.12704918032786883,0.7894736842105263,213,160,31,2027
solo,0.41500000000000004,0.5710455764075067,0.8729508196721312,0.12704918032786883,0.7894736842105263,213,160,31,2027
solo,0.4175,0.5741239892183289,0.8729508196721312,0.12704918032786883,0.7906458797327394,213,158,31,2029
solo,0.42,0.5756756756756757,0.8729508196721312,0.12704918032786883,0.7912332838038634,213,157,31,2030
solo,0.4225,0.5772357723577236,0.8729508196721312,0.12704918032786883,0.79182156133829,213,156,31,2031
solo,0.425,0.5803814713896458,0.8729508196721312,0.12704918032786883,0.793000744601638,213,154,31,2033
solo,0.4275,0.5803814713896458,0.8729508196721312,0.12704918032786883,0.793000744601638,213,154,31,2033
solo,0.43,0.5819672131147541,0.8729508196721312,0.12704918032786883,0.793591654247392,213,153,31,2034
solo,0.4325,0.5867768595041323,0.8729508196721312,0.12704918032786883,0.7953696788648246,213,150,31,2037
solo,0.435,0.5933147632311978,0.8729508196721312,0.12704918032786883,0.7977528089887641,213,146,31,2041
solo,0.4375,0.5966386554621849,0.8729508196721312,0.12704918032786883,0.7989497374343587,213,144,31,2043
solo,0.44,0.6,0.8729508196721312,0.12704918032786883,0.8001502629601803,213,142,31,2045
solo,0.4425,0.6016949152542372,0.8729508196721312,0.12704918032786883,0.800751879699248,213,141,31,2046
solo,0.445,0.6068376068376068,0.8729508196721312,0.12704918032786883,0.8025621703089677,213,138,31,2049
solo,0.4475,0.6068376068376068,0.8729508196721312,0.12704918032786883,0.8025621703089677,213,138,31,2049
solo,0.45,0.6057142857142858,0.8688524590163934,0.1311475409836066,0.799396681749623,212,138,32,2049
solo,0.4525,0.6074498567335244,0.8688524590163934,0.1311475409836066,0.8,212,137,32,2050
solo,0.455,0.6074498567335244,0.8688524590163934,0.1311475409836066,0.8,212,137,32,2050
solo,0.4575,0.6091954022988506,0.8688524590163934,0.1311475409836066,0.8006042296072508,212,136,32,2051
solo,0.46,0.6091954022988506,0.8688524590163934,0.1311475409836066,0.8006042296072508,212,136,32,2051
solo,0.4625,0.6109510086455331,0.8688524590163934,0.1311475409836066,0.8012093726379441,212,135,32,2052
solo,0.465,0.6109510086455331,0.8688524590163934,0.1311475409836066,0.8012093726379441,212,135,32,2052
solo,0.4675,0.6127167630057804,0.8688524590163934,0.1311475409836066,0.8018154311649016,212,134,32,2053
solo,0.47000000000000003,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.47250000000000003,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.47500000000000003,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.47750000000000004,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.48,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.4825,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.485,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.4875,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.49,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.4925,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.495,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.4975,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5025000000000001,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.505,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5075000000000001,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.51,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5125,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.515,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5175,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.52,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5225,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.525,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5275,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.53,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5325,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.535,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5375,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.54,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5425,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.545,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5475,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.55,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5525,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.555,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5575,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.56,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5625,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5650000000000001,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5675,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5700000000000001,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5725,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5750000000000001,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5775,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.58,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5825,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.585,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5875,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.59,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5925,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.595,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.5975,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6025,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.605,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6075,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.61,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6125,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.615,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6175,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.62,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6225,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.625,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6275000000000001,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.63,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6325000000000001,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.635,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6375000000000001,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.64,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6425,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.645,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6475,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.65,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.6525,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
solo,0.655,0.6144927536231884,0.8688524590163934,0.1311475409836066,0.8024224072672219,212,133,32,2054
